image,text
/content/processed/0.png,"اور بنوں ( نما حر جنپ , اے الف فی ) بوں میں اثوام مب راشییل اور"
/content/processed/1.png,کے سا تھ میق علا تے کے عوام نے می وکس
/content/processed/2.png,کی لوڈشی ےہ۰ ٹساف مظاہرہہکیا۔ اومٹس تشد سے ایک وجوان
/content/processed/3.png,مفشور علی جاں بن اور 2خ ا تین سیت 14 افراوز تھی ہو گئۓ_
/content/processed/4.png,لا تے نہیں کر ٹم ماف رد ما گیا سے میئینوں نے الٹرام
/content/processed/5.png,گا ماکہ لوھڈ سکی فائ نگ سے شش ری ہلاٹ ہو اجس
/content/processed/6.png,ول س کا کنا ےکہ مظاہ رین میں می نے جم
/content/processed/7.png,راہ راست فائ رن۲ گی اور فائ رلک کے تار نے ہے
/content/processed/8.png,ملح میں ایک شر ی ملاک ہوگیا۔ مفصیدات کے مطا لی بنوں
/content/processed/9.png,میس اقوام می راشبیل اور ا کے سا تجھ محقہ عا تے کے عوام
/content/processed/10.png,نے مھ وکا سکیلوڈشی ےنگ سراف مظاہر دہکا۔ مظائ من نے
/content/processed/11.png,مظاہہ رد کے دوران بوںل ڈیر و روڈ ملاک گر دی اور سڈ
/content/processed/12.png,ای کرنے سے انار تقردماء مظاہ ریگ نک روڈ سے ہل اے
/content/processed/13.png,کیا بیس نے مظاہ بین پہ لا شی حا رج اور فائ رم۰ کی
/content/processed/14.png,نس سے اٹ موجوان مفشقور لی جاں جن اور 2
/content/processed/15.png,خوابین سیت 14 افراوز کی ہوہے۔ ز خیو ں کور می اتال
/content/processed/16.png,تل کرد مایا بنوں اور ڈیر :اس شیل ان ضع کو
/content/processed/17.png,ان وا لی م رک زی شاہ را یر کر یوما تخرد ماگیا سے ہنوںل
/content/processed/18.png,میں تشرداس وقت شر و ہو اجب 00 5 کے لک یک
/content/processed/19.png,مار مین نے مصروف شاہمر اہ لال قردیی اور ا لی کرنے سے
/content/processed/20.png,انار کردا مظاہ رین نے شناہ راہ کو ےکن کٹ بات رکھھا۔ ا یڑ س کا
/content/processed/21.png,کنا ےکہ ایک نف فائ ریگ سے ماد نے کے من
/content/processed/22.png,یں جاں بن ہوا یہ مینوں کا الام ےک
/content/processed/23.png,مظاہ رن ملیں سے ایک خنص موا سکی فائ رکٹ سے بلاکٹ
/content/processed/24.png,ہوا ے۔ بنوں کے اب لوس اف ر نے اے الف لی
/content/processed/25.png,و چنا )کہ لیس نے مظظاہ رم نی کو مضتنظ رن ےکمیلنۓ (ا تھی
/content/processed/26.png,ار او رآ نم وکس ہے شیل فوئر کے جس ہے
/content/processed/27.png,اب میں مظاہ رن نے لوس پر پپھ راو شر و ع کرو ما۔ بنوں کے
/content/processed/28.png,کٹ او روٹس افسرنے بت اککہ فائ رن ہ لہ مظاہ رین
/content/processed/29.png,میس ےکی نے گوس پہبراہ راس تگی۔ انہوں
/content/processed/30.png,ن ےکھاکہ کوکٹیس نے ما رم نقکو من رن ےکسلئے
/content/processed/31.png,ہوائی فائ رک۰ کی ۔اخوں نے کہ مظامر من نے می
/content/processed/32.png,کے گرڈ ا بیشن پر مل کیا۔
/content/processed/33.png,22 (اٹاکف رورز) میرم وی موومنٹ کے مر
/content/processed/34.png,الطاف بن نے وا رع اور دوٹوکٹ الفاظ می ںکما ےک کوکی
/content/processed/35.png,بھی مسلمان ارد نقالی کے محبوب اور نچ یآخ ال راں حضرت
/content/processed/36.png,مر مصطف لاگ کی شمان می ں تنا تی کزان کیا ا سک
/content/processed/37.png,"تصور بھی کییں کر سکا, کہ پاکتنان میں رج وی"
/content/processed/38.png,فلیتیں بھی ارد و والم ا کی شان می گنا خی غہیں ک رسسیں ایز
/content/processed/39.png,میں تام مسرائیک سے مع رن والے مم ٢بی‏ ر ہنماوں سے
/content/processed/40.png,درخواست کرجاہو ںکہ ود دز |شنلحم بوسف رضاگیلا یک اس دا
/content/processed/41.png,"- مو
بن دبا لی کے بح دکہ ما موس رسالہ اصع"
/content/processed/42.png,"سی بھی مت مکی تیم ما تد کی کی ں کی جارجی ے,"
/content/processed/43.png,ہے مظاہمروںکیاسلسملہ شخمکرومیں۔ انہوں نے تام یی وگگز
/content/processed/44.png,اور شعے جات کے ارکالن سیت تام زمہ داروںل او رکا رکنول
/content/processed/45.png,"ے
کماکہ دومن بی
0ت

داری اور ٹڈ

در وارا:

رانہ بآ چجگی"
/content/processed/46.png,کے ف ور غکسل جک یکگی ارز میقنک کا انعتقا کرش اضموں
