Image_no,Text
/content/processed/0.png,"پشاور، بنوں (نما ئندہ جنگ، اے ایف پی) بنوں میں اقوام میر اخیل اور"
/content/processed/1.png,اسکے ساتھ ملحقہ علاقے کے عوام نے بجلی و گیس
/content/processed/2.png,کی لوڈشیڈنگ کیخلاف مظاہرہ کیا۔ پولیس تشدد سے ایک نوجوان
/content/processed/3.png,منشور علی جاں بحق اور 2 خواتین سمیت 14 افراد زخمی ہو گئے۔
/content/processed/4.png,علاقے میں کرفیو نافذ کر دیا گیا ہے۔ مکینوں نے الزام
/content/processed/5.png,لگایا کہ پولیس کی فائرنگ سے شہری ہلاک ہوا جبکہ
/content/processed/6.png,پولیس کا کہنا ہے کہ مظاہرین میں کسی نے ہم
/content/processed/7.png,پر براہ راست فائرنگ کی اور فائرنگ کے تبادلے کے
/content/processed/8.png,نتیجے میں ایک شہری ہلاک ہو گیا۔ تفصیلات کے مطابق بنوں
/content/processed/9.png,میں اقوام میر اخیل اور اسکے ساتھ ملحقہ علاقے کے عوام
/content/processed/10.png,نے بجلی و گیس کی لوڈشیڈنگ کیخلاف مظاہرہ کیا۔ مظاہرین نے
/content/processed/11.png,مظاہرہ کے دوران بنوں ڈیرہ روڈ بلاک کر دی اور سڑک
/content/processed/12.png,"خالی کرنے سے انکار کر دیا، مظاہرین کو روڈ سے ہٹانے"
/content/processed/13.png,کیلئے پولیس نے مظاہرین پر لاٹھی چارج اور فائرنگ کی
/content/processed/14.png,جس سے ایک نوجوان منشور علی جاں بحق اور2
/content/processed/15.png,خواتین سمیت 14 افراد زخمی ہو گئے۔ زخمیوں کو قریبی ہسپتال
/content/processed/16.png,منتقل کر دیا گیا۔ بنوں اور ڈیرہ اسماعیل خان ضلع کو
/content/processed/17.png,ملانے والی مرکزی شاہراہ پر کرفیو نافذ کر دیا گیا ہے۔ بنوں
/content/processed/18.png,میں تشدد اس وقت شروع ہوا جب 500 کے لگ بھگ
/content/processed/19.png,مظاہرین نے مصروف شاہراہ بلاک کر دی اور خالی کرنے سے
/content/processed/20.png,انکار کر دیا۔ مظاہرین نے شاہراہ کو 3 گھنٹے تک بلاک رکھا۔ پولیس کا
/content/processed/21.png,کہنا ہے کہ ایک شخص فائرنگ کے تبادلے کے نتیجے
/content/processed/22.png,میں جاں بحق ہوا جبکہ مکینوں کا الزام ہے کہ
/content/processed/23.png,مظاہرین میں سے ایک شخص پولیس کی فائرنگ سے ہلاک
/content/processed/24.png,ہوا ہے۔ بنوں کے ایک پولیس افسر نے اے ایف پی
/content/processed/25.png,کو بتایا کہ پولیس نے مظاہرین کو منتشر کرنے کیلئے لاٹھی
/content/processed/26.png,چارج اور آنسو گیس کے شیل فائر کئے جس کے
/content/processed/27.png,جواب میں مظاہرین نے پولیس پر پتھراؤ شروع کر دیا۔ بنوں کے
/content/processed/28.png,ایک اور پولیس افسر نے بتایا کہ فائرنگ پہلے مظاہرین
/content/processed/29.png,میں سے کسی پر پولیس نے براہ راست کی۔۔ انہوں
/content/processed/30.png,نے کہا کہ پولیس نے مظاہرین کو منتشر کرنے کیلئے
/content/processed/31.png,ہوائی فائرنگ کی۔ انہوں نے کہا کہ مظاہرین نے بجلی
/content/processed/32.png,کے گریڈ اسٹیشن پر حملہ کیا۔
/content/processed/33.png,کراچی (اسٹاف رپورٹر) متحدہ قومی موومنٹ کے قائد
/content/processed/34.png,الطاف حسین نے واضح اور دوٹوک الفاظ میں کہا ہے کہ کوئی
/content/processed/35.png,بھی مسلمان اللہ تعالیٰ کے محبوب اور نبی آخر الزماں حضرت
/content/processed/36.png,مصطفٰے محمد صلی اللہ علیہ وآلہ وسلم کی شان میں گستاخی کرنا تو کجا اس کا
/content/processed/37.png,"تصور بھی نہیں کر سکتا، حتیٰ کہ پاکستان میں رہنے والی"
/content/processed/38.png,اقلیتیں بھی سرکار دو عالم صلى الله علیہ وآلہ وسلم کی شان میں گستاخی نہیں کر سکتی ہیں لہٰذا
/content/processed/39.png,میں تمام مسالک سے تعلق رکھنے والے مذہبی رہنماؤں سے
/content/processed/40.png,درخواست کرتا ہوں کہ وہ وزیر اعظم یوسف رضا گیلانی کی اس واضح
/content/processed/41.png,یقین دہانی کے بعد کہ ناموس رسالت ﷺ کے قانون میں
/content/processed/42.png,"کسی بھی قسم کی ترمیم یا تبدیلی نہیں کی جا رہی ہے،"
/content/processed/43.png,اپنے مظاہروں کا سلسلہ ختم کر دیں۔ انہوں نے تمام تنظیمی ونگز
/content/processed/44.png,اور شعبہ جات کے ارکان سمیت تمام ذمہ داروں اور کارکنوں
/content/processed/45.png,سے کہا کہ وہ مذہبی رواداری اور فرقہ وارانہ ہم آہنگی
/content/processed/46.png,کے فروغ کیلئے گلی گلی کارنر میٹنگز کا انعقاد کریں۔ انہوں
/content/processed/47.png,نے ان خیالات کا اظہار ایم کیو ایم کے مرکز نائن
/content/processed/48.png,زیرو پر ایم کیو ایم کے مختلف شعبہ جات کے ارکان
/content/processed/49.png,کے اجلاس سے ٹیلیفون پر خطاب کرتے ہوئے کیا۔ اپنے
/content/processed/51.png,فکر انگیز خطاب میں الطاف حسین نے کہا کہ اسلام کے معنیٰ
/content/processed/51.png,"امن اور سلامتی' ہیں، اسلام صرف مسلمانوں ہی"
/content/processed/52.png,کے نہیں بلکہ تمام مذاہب کے احترام کا درس دیتا ہے۔
/content/processed/53.png,قرآن مجید میں اللہ تعالیٰ کا فرمان بالکل واضح ہے کہ 'ترجمہ:
/content/processed/54.png,"میرا دین میرے ساتھ، تمہارا دین تمہارے ساتھ۔' قرآن مجید میں"
/content/processed/55.png,ایک اور جگہ اللہ تعالیٰ کا فرمان ہے کہ '
/content/processed/56.png,ایک اور جگہ اللہ تعالیٰ کا فرمان ہے کہ
/content/processed/57.png,ایک اور جگہ اللہ تعالیٰ کا فرمان ہے کہ '
/content/processed/58.png,ایک اور جگہ اللہ تعالیٰ کا فرمان ہے کہ '
/content/processed/59.png,انتہا پسندی اسلام کی تعلیمات کی نفی ہے۔ الطاف حسین نے
/content/processed/60.png,کہا کہ جہاں انتہا پسندی ہوگی وہاں امن وسلامتی اور اتحاد
/content/processed/61.png,"نہیں بلکہ انتشار ہوگا، نفاق ہوگا، تشدد ہوگا اور قتل وغارت گری"
/content/processed/62.png,ہوگی۔ انہوں نے کہا کہ اسلام تو ایسا مذہب ہے جو نہ صرف
/content/processed/63.png,مسلمانوں کو امن وسلامتی کا پیغام دیتا ہے بلکہ وہ
/content/processed/64.png,غیر مسلموں کو بھی امن اور سلامتی کی ضمانت دیتا ہے۔
/content/processed/65.png,"انہوں نے کہا کہ انسانی تاریخ میں کئی امراء، سلاطین اور"
/content/processed/66.png,بادشاہوں نے اپنے اقتدار کو جائز قرار دینے اور اسے دوام بخشنے
/content/processed/67.png,"کیلئے مذہب کو بطور ڈھال استعمال کیا، ہمارے ملک میں"
/content/processed/68.png,بھی یہی ہوا اور گزشتہ کئی برسوں سے کچھ عناصر مذہب
/content/processed/69.png,کو نہ صرف اپنے مفادات کیلئے استعمال کر رہے ہیں بلکہ معصوم
/content/processed/70.png,مسلمانوں کی برین واشنگ کر کے اور انہیں غلط تربیت
/content/processed/71.png,مسلمانوں کی برین واشنگ کر کے اور انہیں غلط تربیت
/content/processed/72.png,مسلمانوں کی برین واشنگ کر کے اور انہیں غلط تربیت
/content/processed/73.png,مسلمانوں کی برین واشنگ کر کے اور انہیں غلط تربیت
/content/processed/74.png,غلط تشریح کی جائے اور امن وسلامتی کا درس دینے
/content/processed/75.png,والے مذہب اسلام کو اگر امن کے بجائے انتشار اور
/content/processed/76.png,سلامتی کے بجائے تباہی کا ذریعہ بنا دیا جائے تو کیا
/content/processed/77.png,عمل توہین اسلام کے زمرے میں نہیں آتا؟ اسلام
/content/processed/78.png,کے نام پر تشدد کا عمل کرنا کیا اسلام کی خدمت ہے؟
/content/processed/79.png,عمل کیا یہ تعلیماتِ رسول اللہ ﷺ کی توہین کے زمرے میں نہیں
/content/processed/80.png,آتا؟ اگر اسلام کے نام پر قبروں سے میتوں کو نکال کر
/content/processed/81.png,"لٹکایا جائے، نماز پڑھتے ہوئےنمازیوں پر اور چوراہوں اور سڑکوں کو"
/content/processed/82.png,"خودکش حملے کر کے انہیں شہید کیا جائے، مساجد پر حملے کیے جائیں،"
/content/processed/83.png,"امام بارگاہوں پر حملے کیے جائیں، عزاداروں پر حملے کیے"
/content/processed/84.png,"جائیں، معصوم و بے گناہ مسلمانوں کو قتل کیا جائے"
/content/processed/85.png,تو کیا یہ سارا عمل خلافِ اسلام قرار نہیں پائے
/content/processed/86.png,"گا؟ کئی اولیائے کرام، بزرگانِ دین جن کا شجرۂ نسب حضرت"
/content/processed/87.png,علیؓ اور نبی آخر الزماں حضرت محمد مصطفیٰ ﷺ سے جا ملتا ہے اور
/content/processed/88.png,جن بزرگانِ دین نے اپنے عمل و کردار اور تبلیغ سے
/content/processed/90.png,جہالت کی تاریکی میں اسلام کی روشنی پھیلائی اور کروڑوں لوگوں
/content/processed/91.png,اُڑانا اور ان کے مزارات کی توہین کرنا کیا رسول
/content/processed/92.png,اکرم ﷺ سے محبت کا مظاہرہ ہے؟ کیا ایسے جلیل القدر
/content/processed/93.png,اولیائے کرام کے مزارات کے مزارات پر خودکش حملے کرنا اور ان کی توہین کرنا
/content/processed/94.png,تو ہینِ رسالت ﷺ کے زمرے میں نہیں آتا؟ ایسا گھناؤنا جرم
/content/processed/95.png,کی خلاف ورزی کرنے والوں کے خلاف کتنی مذہبی جماعتوں نے احتجاجی مظاہرے کیے؟
/content/processed/96.png,انہوں نے کہا کہ مذہی انتہا پسند عناصر نے اپنے مخصوص
/content/processed/97.png,مفادات کیلئے اسلام کے نام پر سادہ لوح نوجوانوں کو اس
/content/processed/98.png,قدر انتہا پسند اور جنونی بنا دیا ہے کہ انہیں اللہ کے حضور کوع
/content/processed/99.png,و سجود کرنے والے نمازیوں کو بموں سے اُڑاتے وقت کوئی رحم
/content/processed/100.png,نہیں آیا۔ آخر یہ کونسا مذہب ہے؟ کیا اسلام کے نام
/content/processed/101.png,پر ایسا گھناؤنا عمل کر کے دنیا بھر میں اسلام کی
/content/processed/102.png,چھی تصویر پیش کی جارہی ہے یا اس کا بیج
/content/processed/103.png,"خراب کیا جارہا ہے؟ یہ اسلام نہیں ہے؟ یہ اسلام مذہب ہی انتہا پسندی ہے، اسلام"
/content/processed/104.png,کا درس نہیں دیتا مگر بعض گروپ اسلام کے نام پر
/content/processed/105.png,انتہا پسند مذہبی انتہا پسندی اور مذہبی جنونیت کو پروان چڑھارہی ہے اور اسلام کے
/content/processed/106.png,نام پر تشدد اور جنگ اور جنگ و جدل کا درس دے رہے ہیں۔
